CustomerID,Lookalikes
C0001,"[('C0190', 0.523), ('C0154', 0.464), ('C0120', 0.455)]"
C0002,"[('C0109', 0.488), ('C0134', 0.474), ('C0008', 0.461)]"
C0003,"[('C0181', 0.576), ('C0134', 0.5), ('C0025', 0.48)]"
C0004,"[('C0065', 0.546), ('C0182', 0.454), ('C0075', 0.441)]"
C0005,"[('C0096', 0.533), ('C0119', 0.402), ('C0162', 0.394)]"
C0006,"[('C0171', 0.552), ('C0071', 0.436), ('C0058', 0.436)]"
C0007,"[('C0140', 0.569), ('C0020', 0.434), ('C0162', 0.395)]"
C0008,"[('C0059', 0.501), ('C0160', 0.477), ('C0104', 0.474)]"
C0009,"[('C0062', 0.533), ('C0156', 0.462), ('C0083', 0.438)]"
C0010,"[('C0132', 0.476), ('C0092', 0.467), ('C0034', 0.421)]"
C0011,"[('C0177', 0.454), ('C0171', 0.413), ('C0170', 0.403)]"
C0012,"[('C0128', 0.596), ('C0163', 0.559), ('C0076', 0.556)]"
C0013,"[('C0141', 0.465), ('C0101', 0.465), ('C0099', 0.443)]"
C0014,"[('C0128', 0.628), ('C0159', 0.556), ('C0136', 0.477)]"
C0015,"[('C0036', 0.579), ('C0050', 0.468), ('C0073', 0.464)]"
C0016,"[('C0066', 0.527), ('C0192', 0.503), ('C0046', 0.431)]"
C0017,"[('C0071', 0.506), ('C0104', 0.481), ('C0037', 0.471)]"
C0018,"[('C0087', 0.455), ('C0064', 0.451), ('C0081', 0.422)]"
C0019,"[('C0064', 0.541), ('C0084', 0.434), ('C0191', 0.375)]"
C0020,"[('C0026', 0.585), ('C0117', 0.535), ('C0001', 0.449)]"
